2018-12-25 09:59:46 781  [restartedMain] INFO  c.g.xinbaoli.XinbaoliApplication - Starting XinbaoliApplication on MS-20170621IRDW with PID 4508 (D:\GongZhaoDev\Administrator\eclipse-workspace-tianti\xinbaoli\target\classes started by Administrator in D:\GongZhaoDev\Administrator\eclipse-workspace-tianti\xinbaoli) 
2018-12-25 09:59:46 797  [restartedMain] INFO  c.g.xinbaoli.XinbaoliApplication - The following profiles are active: dev 
2018-12-25 09:59:46 843  [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@36e46c1: startup date [Tue Dec 25 09:59:46 GMT+08:00 2018]; root of context hierarchy 
2018-12-25 09:59:46 1124 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
2018-12-25 09:59:48 2700 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.george.xinbaoli.configuration.ShiroConfiguration$$EnhancerBySpringCGLIB$$79466d93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 2732 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$63dc91d5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 2779 [restartedMain] INFO  c.g.x.c.ShiroConfiguration - myRealm注册完成 
2018-12-25 09:59:48 2872 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 2888 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$96b0e305] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 2888 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseDataSource' of type [com.george.xinbaoli.configuration.BaseDataSource$$EnhancerBySpringCGLIB$$954b7444] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 3184 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:48 3200 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$45d03535] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3216 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3231 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSourceInitializer' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3434 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3434 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3434 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3450 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userInfoMapper' of type [com.sun.proxy.$Proxy63] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3496 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3496 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseMapper' of type [com.sun.proxy.$Proxy65] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3496 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'baseServie' of type [com.george.xinbaoli.service.impl.BaseServiceClientImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3496 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'userService' of type [com.george.xinbaoli.service.impl.UserServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3496 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myRealm' of type [com.george.xinbaoli.common.MyRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 3964 [restartedMain] INFO  c.g.x.c.ShiroConfiguration - securityManager注册完成 
2018-12-25 09:59:49 3996 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-12-25 09:59:49 4011 [restartedMain] INFO  c.g.x.c.ShiroConfiguration - shiroFilter注册完成 
2018-12-25 09:59:50 4574 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http) 
2018-12-25 09:59:50 4589 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2018-12-25 09:59:50 4589 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16 
2018-12-25 09:59:50 4714 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2018-12-25 09:59:50 4714 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3871 ms 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
2018-12-25 09:59:50 4870 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*] 
2018-12-25 09:59:51 5650 [restartedMain] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1,test} inited 
2018-12-25 09:59:52 6338 [restartedMain] INFO  o.a.engine.impl.ProcessEngineImpl - ProcessEngine default created 
2018-12-25 09:59:52 6338 [restartedMain] INFO  o.a.e.i.a.AbstractAsyncJobExecutor - Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor]. 
2018-12-25 09:59:52 6338 [Thread-5] INFO  o.a.e.i.a.AcquireTimerJobsRunnable - starting to acquire async jobs due 
2018-12-25 09:59:52 6338 [Thread-6] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable - starting to acquire async jobs due 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[POST]}" onto public java.lang.String com.george.xinbaoli.controller.AdminController.addUser(java.lang.String) 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[GET]}" onto public java.lang.String com.george.xinbaoli.controller.AdminController.getUser(long) 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[PUT]}" onto public java.lang.String com.george.xinbaoli.controller.AdminController.updateUser(java.lang.String) 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/user],methods=[DELETE]}" onto public java.lang.String com.george.xinbaoli.controller.AdminController.delUser(long) 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/testAuthorization],methods=[GET]}" onto public java.lang.String com.george.xinbaoli.controller.AdminController.testAuthorization() 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/auth/success]}" onto public java.lang.String com.george.xinbaoli.controller.AuthenticationController.success() 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/auth/login]}" onto public java.lang.String com.george.xinbaoli.controller.AuthenticationController.login() 
2018-12-25 09:59:52 6837 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/auth/login_in],produces=[application/json;charset=UTF-8]}" onto public com.george.xinbaoli.entity.JsonBean com.george.xinbaoli.controller.AuthenticationController.loginIn(javax.servlet.http.HttpServletRequest) 
